    1001
      tau        trans        e3
 2.180367470e+00 1.129999980e-01 2.409721166e-02
 2.171556711e+00 1.140000001e-01 2.436019108e-02
 2.162823200e+00 1.150000021e-01 2.462467179e-02
 2.154165030e+00 1.159999967e-01 2.488899976e-02
 2.145581245e+00 1.169999987e-01 2.515434846e-02
 2.137070656e+00 1.180000007e-01 2.542071417e-02
 2.128631830e+00 1.190000027e-01 2.568715066e-02
 2.120263577e+00 1.199999973e-01 2.595417574e-02
 2.111964703e+00 1.209999993e-01 2.622219175e-02
 2.103734255e+00 1.220000014e-01 2.649107948e-02
 2.095570803e+00 1.230000034e-01 2.675995603e-02
 2.087473631e+00 1.239999980e-01 2.702990919e-02
 2.079441547e+00 1.250000000e-01 2.730058879e-02
 2.071473360e+00 1.260000020e-01 2.757173404e-02
 2.063568115e+00 1.270000041e-01 2.784365043e-02
 2.055724859e+00 1.280000061e-01 2.811584622e-02
 2.047942877e+00 1.289999932e-01 2.838917822e-02
 2.040220976e+00 1.299999952e-01 2.866269276e-02
 2.032557964e+00 1.309999973e-01 2.893694490e-02
 2.024953365e+00 1.319999993e-01 2.921191603e-02
 2.017406225e+00 1.330000013e-01 2.948782220e-02
 2.009915352e+00 1.340000033e-01 2.976399660e-02
 2.002480507e+00 1.350000054e-01 3.004056215e-02
 1.995100379e+00 1.360000074e-01 3.031790629e-02
 1.987774372e+00 1.369999945e-01 3.059608862e-02
 1.980501652e+00 1.379999965e-01 3.087468073e-02
 1.973281384e+00 1.389999986e-01 3.115409985e-02
 1.966112852e+00 1.400000006e-01 3.143415228e-02
 1.958995342e+00 1.410000026e-01 3.171449900e-02
 1.951928139e+00 1.420000046e-01 3.199550882e-02
 1.944910645e+00 1.430000067e-01 3.227736056e-02
 1.937942028e+00 1.439999938e-01 3.255964443e-02
 1.931021571e+00 1.449999958e-01 3.284267336e-02
 1.924148679e+00 1.459999979e-01 3.312617540e-02
 1.917322636e+00 1.469999999e-01 3.341044486e-02
 1.910542965e+00 1.480000019e-01 3.369501978e-02
 1.903808951e+00 1.490000039e-01 3.398058936e-02
 1.897119999e+00 1.500000060e-01 3.426659852e-02
 1.890475512e+00 1.509999931e-01 3.455324098e-02
 1.883874774e+00 1.519999951e-01 3.484046832e-02
 1.877317429e+00 1.529999971e-01 3.512823209e-02
 1.870802641e+00 1.539999992e-01 3.541635722e-02
 1.864330173e+00 1.550000012e-01 3.570536897e-02
 1.857899308e+00 1.560000032e-01 3.599499911e-02
 1.851509452e+00 1.570000052e-01 3.628522530e-02
 1.845160246e+00 1.580000073e-01 3.657597676e-02
 1.838851094e+00 1.589999944e-01 3.686729074e-02
 1.832581520e+00 1.599999964e-01 3.715924546e-02
 1.826350927e+00 1.609999985e-01 3.745156527e-02
 1.820158958e+00 1.620000005e-01 3.774467856e-02
 1.814005017e+00 1.630000025e-01 3.803848475e-02
 1.807888865e+00 1.640000045e-01 3.833262995e-02
 1.801809788e+00 1.650000066e-01 3.862740099e-02
 1.795767546e+00 1.659999937e-01 3.892289102e-02
 1.789761543e+00 1.669999957e-01 3.921911120e-02
 1.783791304e+00 1.679999977e-01 3.951547667e-02
 1.777856588e+00 1.689999998e-01 3.981269524e-02
 1.771956801e+00 1.700000018e-01 4.011057317e-02
 1.766091704e+00 1.710000038e-01 4.040886462e-02
 1.760260820e+00 1.720000058e-01 4.070787132e-02
 1.754463673e+00 1.729999930e-01 4.100726172e-02
 1.748700023e+00 1.739999950e-01 4.130733386e-02
 1.742969275e+00 1.749999970e-01 4.160774499e-02
 1.737271309e+00 1.759999990e-01 4.190909490e-02
 1.731605530e+00 1.770000011e-01 4.221097007e-02
 1.725971699e+00 1.780000031e-01 4.251310229e-02
 1.720369458e+00 1.790000051e-01 4.281613231e-02
 1.714798331e+00 1.800000072e-01 4.311960563e-02
 1.709258318e+00 1.809999943e-01 4.342362657e-02
 1.703748584e+00 1.819999963e-01 4.372821003e-02
 1.698269129e+00 1.829999983e-01 4.403353482e-02
 1.692819476e+00 1.840000004e-01 4.433930665e-02
 1.687399387e+00 1.850000024e-01 4.464549571e-02
 1.682008624e+00 1.860000044e-01 4.495233297e-02
 1.676646590e+00 1.870000064e-01 4.525982216e-02
 1.671313405e+00 1.879999936e-01 4.556793720e-02
 1.666008234e+00 1.889999956e-01 4.587633163e-02
 1.660731196e+00 1.899999976e-01 4.618550465e-02
 1.655481815e+00 1.909999996e-01 4.649523273e-02
 1.650259852e+00 1.920000017e-01 4.680543765e-02
 1.645065069e+00 1.930000037e-01 4.711632803e-02
 1.639897108e+00 1.940000057e-01 4.742754996e-02
 1.634755731e+00 1.949999928e-01 4.773951322e-02
 1.629640698e+00 1.959999949e-01 4.805202782e-02
 1.624551535e+00 1.969999969e-01 4.836497083e-02
 1.619488239e+00 1.979999989e-01 4.867857695e-02
 1.614450455e+00 1.990000010e-01 4.899267107e-02
 1.609437943e+00 2.000000030e-01 4.930748791e-02
 1.604450345e+00 2.010000050e-01 4.962264374e-02
 1.599487543e+00 2.020000070e-01 4.993860424e-02
 1.594549298e+00 2.029999942e-01 5.025476962e-02
 1.589635253e+00 2.039999962e-01 5.057169870e-02
 1.584745288e+00 2.049999982e-01 5.088923126e-02
 1.579879165e+00 2.060000002e-01 5.120712891e-02
 1.575036526e+00 2.070000023e-01 5.152566731e-02
 1.570217133e+00 2.080000043e-01 5.184486136e-02
 1.565420985e+00 2.090000063e-01 5.216453597e-02
 1.560647726e+00 2.099999934e-01 5.248471349e-02
 1.555897117e+00 2.109999955e-01 5.280541629e-02
 1.551169038e+00 2.119999975e-01 5.312673002e-02
 1.546463132e+00 2.129999995e-01 5.344859511e-02
 1.541779280e+00 2.140000015e-01 5.377102643e-02
 1.537117243e+00 2.150000036e-01 5.409384891e-02
 1.532476902e+00 2.160000056e-01 5.441738293e-02
 1.527857900e+00 2.169999927e-01 5.474136397e-02
 1.523260236e+00 2.179999948e-01 5.506591126e-02
 1.518683553e+00 2.189999968e-01 5.539104342e-02
 1.514127731e+00 2.199999988e-01 5.571674556e-02
 1.509592533e+00 2.210000008e-01 5.604287982e-02
 1.505077839e+00 2.220000029e-01 5.636961386e-02
 1.500583529e+00 2.230000049e-01 5.669692159e-02
 1.496109247e+00 2.240000069e-01 5.702474341e-02
 1.491654873e+00 2.249999940e-01 5.735304207e-02
 1.487220287e+00 2.259999961e-01 5.768193677e-02
 1.482805252e+00 2.269999981e-01 5.801138654e-02
 1.478409648e+00 2.280000001e-01 5.834136158e-02
 1.474033237e+00 2.290000021e-01 5.867187679e-02
 1.469675899e+00 2.300000042e-01 5.900299922e-02
 1.465337515e+00 2.310000062e-01 5.933452770e-02
 1.461017966e+00 2.319999933e-01 5.966668949e-02
 1.456716895e+00 2.329999954e-01 5.999929085e-02
 1.452434182e+00 2.339999974e-01 6.033251807e-02
 1.448169708e+00 2.349999994e-01 6.066630408e-02
 1.443923473e+00 2.360000014e-01 6.100052968e-02
 1.439695120e+00 2.370000035e-01 6.133532897e-02
 1.435484529e+00 2.380000055e-01 6.167066097e-02
 1.431291699e+00 2.389999926e-01 6.200655177e-02
 1.427116394e+00 2.399999946e-01 6.234294549e-02
 1.422958374e+00 2.409999967e-01 6.267987937e-02
 1.418817520e+00 2.419999987e-01 6.301739067e-02
 1.414693832e+00 2.430000007e-01 6.335534155e-02
 1.410587072e+00 2.440000027e-01 6.369391084e-02
 1.406497002e+00 2.450000048e-01 6.403303891e-02
 1.402423739e+00 2.460000068e-01 6.437265128e-02
 1.398366928e+00 2.469999939e-01 6.471277773e-02
 1.394326568e+00 2.479999959e-01 6.505335122e-02
 1.390302420e+00 2.489999980e-01 6.539459527e-02
 1.386294365e+00 2.500000000e-01 6.573636830e-02
 1.382302403e+00 2.509999871e-01 6.607855856e-02
 1.378326178e+00 2.520000041e-01 6.642138958e-02
 1.374365807e+00 2.529999912e-01 6.676474959e-02
 1.370420933e+00 2.540000081e-01 6.710858643e-02
 1.366491795e+00 2.549999952e-01 6.745293736e-02
 1.362577796e+00 2.560000122e-01 6.779788435e-02
 1.358679175e+00 2.569999993e-01 6.814332306e-02
 1.354795694e+00 2.579999864e-01 6.848926842e-02
 1.350927234e+00 2.590000033e-01 6.883579493e-02
 1.347073674e+00 2.599999905e-01 6.918279827e-02
 1.343234897e+00 2.610000074e-01 6.953032315e-02
 1.339410782e+00 2.619999945e-01 6.987842172e-02
 1.335601211e+00 2.630000114e-01 7.022703439e-02
 1.331806183e+00 2.639999986e-01 7.057619095e-02
 1.328025460e+00 2.649999857e-01 7.092581689e-02
 1.324258924e+00 2.660000026e-01 7.127602398e-02
 1.320506692e+00 2.669999897e-01 7.162669301e-02
 1.316768289e+00 2.680000067e-01 7.197801024e-02
 1.313043952e+00 2.689999938e-01 7.232972980e-02
 1.309333324e+00 2.700000107e-01 7.268208265e-02
 1.305636525e+00 2.709999979e-01 7.303488255e-02
 1.301953197e+00 2.720000148e-01 7.338822633e-02
 1.298283458e+00 2.730000019e-01 7.374206930e-02
 1.294627190e+00 2.739999890e-01 7.409648597e-02
 1.290984154e+00 2.750000060e-01 7.445142418e-02
 1.287354469e+00 2.759999931e-01 7.480685413e-02
 1.283737779e+00 2.770000100e-01 7.516282797e-02
 1.280134201e+00 2.779999971e-01 7.551931590e-02
 1.276543498e+00 2.790000141e-01 7.587630302e-02
 1.272965670e+00 2.800000012e-01 7.623387873e-02
 1.269400597e+00 2.809999883e-01 7.659195364e-02
 1.265848160e+00 2.820000052e-01 7.695049793e-02
 1.262308359e+00 2.829999924e-01 7.730966061e-02
 1.258780956e+00 2.840000093e-01 7.766930759e-02
 1.255266070e+00 2.849999964e-01 7.802945375e-02
 1.251763463e+00 2.860000134e-01 7.839009911e-02
 1.248273015e+00 2.870000005e-01 7.875134796e-02
 1.244794846e+00 2.879999876e-01 7.911305875e-02
 1.241328597e+00 2.890000045e-01 7.947527617e-02
 1.237874389e+00 2.899999917e-01 7.983805984e-02
 1.234431982e+00 2.910000086e-01 8.020139486e-02
 1.231001496e+00 2.919999957e-01 8.056522906e-02
 1.227582574e+00 2.930000126e-01 8.092955500e-02
 1.224175453e+00 2.939999998e-01 8.129440248e-02
 1.220780015e+00 2.949999869e-01 8.165977150e-02
 1.217395782e+00 2.960000038e-01 8.202569187e-02
 1.214023113e+00 2.969999909e-01 8.239208907e-02
 1.210661769e+00 2.980000079e-01 8.275907487e-02
 1.207311749e+00 2.989999950e-01 8.312653750e-02
 1.203972816e+00 3.000000119e-01 8.349451423e-02
 1.200644970e+00 3.009999990e-01 8.386308700e-02
 1.197328329e+00 3.019999862e-01 8.423206210e-02
 1.194022417e+00 3.030000031e-01 8.460164070e-02
 1.190727592e+00 3.039999902e-01 8.497172594e-02
 1.187443495e+00 3.050000072e-01 8.534231037e-02
 1.184170246e+00 3.059999943e-01 8.571346104e-02
 1.180907488e+00 3.070000112e-01 8.608511090e-02
 1.177655458e+00 3.079999983e-01 8.645725250e-02
 1.174414039e+00 3.089999855e-01 8.682993054e-02
 1.171182990e+00 3.100000024e-01 8.720312268e-02
 1.167962432e+00 3.109999895e-01 8.757686615e-02
 1.164752126e+00 3.120000064e-01 8.795111626e-02
 1.161552072e+00 3.129999936e-01 8.832592517e-02
 1.158362269e+00 3.140000105e-01 8.870118856e-02
 1.155182600e+00 3.149999976e-01 8.907701820e-02
 1.152013063e+00 3.160000145e-01 8.945332468e-02
 1.148853540e+00 3.170000017e-01 8.983016014e-02
 1.145703912e+00 3.179999888e-01 9.020755440e-02
 1.142564178e+00 3.190000057e-01 9.058544785e-02
 1.139434338e+00 3.199999928e-01 9.096385539e-02
 1.136314154e+00 3.210000098e-01 9.134284407e-02
 1.133203745e+00 3.219999969e-01 9.172224998e-02
 1.130102873e+00 3.230000138e-01 9.210225940e-02
 1.127011776e+00 3.240000010e-01 9.248277545e-02
 1.123930097e+00 3.249999881e-01 9.286376089e-02
 1.120857835e+00 3.260000050e-01 9.324532002e-02
 1.117795110e+00 3.269999921e-01 9.362735599e-02
