    1001
      tau        trans        e3
 6.991652250e-01 4.970000088e-01 1.662574410e-01
 6.971552372e-01 4.979999959e-01 1.667310596e-01
 6.951491833e-01 4.990000129e-01 1.672052741e-01
 6.931471825e-01 5.000000000e-01 1.676800400e-01
 6.911491752e-01 5.009999871e-01 1.681553721e-01
 6.891552210e-01 5.019999743e-01 1.686312556e-01
 6.871650815e-01 5.030000210e-01 1.691077352e-01
 6.851789951e-01 5.040000081e-01 1.695847511e-01
 6.831968427e-01 5.049999952e-01 1.700623631e-01
 6.812186241e-01 5.059999824e-01 1.705405265e-01
 6.792442203e-01 5.070000291e-01 1.710192561e-01
 6.772738099e-01 5.080000162e-01 1.714985371e-01
 6.753072739e-01 5.090000033e-01 1.719784141e-01
 6.733445525e-01 5.099999905e-01 1.724588573e-01
 6.713857055e-01 5.109999776e-01 1.729398519e-01
 6.694306135e-01 5.120000243e-01 1.734214425e-01
 6.674793959e-01 5.130000114e-01 1.739035845e-01
 6.655319929e-01 5.139999986e-01 1.743863076e-01
 6.635884047e-01 5.149999857e-01 1.748695672e-01
 6.616485715e-01 5.159999728e-01 1.753534228e-01
 6.597123742e-01 5.170000196e-01 1.758379042e-01
 6.577800512e-01 5.180000067e-01 1.763228923e-01
 6.558514237e-01 5.189999938e-01 1.768084764e-01
 6.539264917e-01 5.199999809e-01 1.772946417e-01
 6.520051956e-01 5.210000277e-01 1.777813733e-01
 6.500876546e-01 5.220000148e-01 1.782686710e-01
 6.481738091e-01 5.230000019e-01 1.787565500e-01
 6.462635994e-01 5.239999890e-01 1.792449951e-01
 6.443570852e-01 5.249999762e-01 1.797340214e-01
 6.424540281e-01 5.260000229e-01 1.802236587e-01
 6.405547261e-01 5.270000100e-01 1.807138324e-01
 6.386590004e-01 5.279999971e-01 1.812045872e-01
 6.367668509e-01 5.289999843e-01 1.816959381e-01
 6.348783374e-01 5.299999714e-01 1.821878552e-01
 6.329932213e-01 5.310000181e-01 1.826804131e-01
 6.311118007e-01 5.320000052e-01 1.831734776e-01
 6.292338967e-01 5.329999924e-01 1.836671382e-01
 6.273594499e-01 5.339999795e-01 1.841613948e-01
 6.254884601e-01 5.350000262e-01 1.846562624e-01
 6.236211061e-01 5.360000134e-01 1.851516664e-01
 6.217572093e-01 5.370000005e-01 1.856476665e-01
 6.198967695e-01 5.379999876e-01 1.861442327e-01
 6.180397272e-01 5.389999747e-01 1.866414100e-01
 6.161860824e-01 5.400000215e-01 1.871391982e-01
 6.143360138e-01 5.410000086e-01 1.876375079e-01
 6.124892831e-01 5.419999957e-01 1.881364435e-01
 6.106460094e-01 5.429999828e-01 1.886359453e-01
 6.088059545e-01 5.440000296e-01 1.891360879e-01
 6.069694757e-01 5.450000167e-01 1.896367818e-01
 6.051362753e-01 5.460000038e-01 1.901380569e-01
 6.033064723e-01 5.469999909e-01 1.906399280e-01
 6.014800072e-01 5.479999781e-01 1.911423802e-01
 5.996568203e-01 5.490000248e-01 1.916454732e-01
 5.978369713e-01 5.500000119e-01 1.921491027e-01
 5.960204601e-01 5.509999990e-01 1.926533282e-01
 5.942072868e-01 5.519999862e-01 1.931581646e-01
 5.923973322e-01 5.529999733e-01 1.936635673e-01
 5.905905366e-01 5.540000200e-01 1.941696107e-01
 5.887871385e-01 5.550000072e-01 1.946762353e-01
 5.869870186e-01 5.559999943e-01 1.951834410e-01
 5.851900578e-01 5.569999814e-01 1.956912428e-01
 5.833962560e-01 5.580000281e-01 1.961996704e-01
 5.816057920e-01 5.590000153e-01 1.967086494e-01
 5.798184872e-01 5.600000024e-01 1.972182542e-01
 5.780344009e-01 5.609999895e-01 1.977284551e-01
 5.762534738e-01 5.619999766e-01 1.982392371e-01
 5.744755864e-01 5.630000234e-01 1.987506747e-01
 5.727010369e-01 5.640000105e-01 1.992626488e-01
 5.709295273e-01 5.649999976e-01 1.997752488e-01
 5.691612363e-01 5.659999847e-01 2.002884448e-01
 5.673960447e-01 5.669999719e-01 2.008022517e-01
 5.656338334e-01 5.680000186e-01 2.013166845e-01
 5.638748407e-01 5.690000057e-01 2.018316835e-01
 5.621189475e-01 5.699999928e-01 2.023473084e-01
 5.603660941e-01 5.709999800e-01 2.028635293e-01
 5.586162210e-01 5.720000267e-01 2.033803910e-01
 5.568695664e-01 5.730000138e-01 2.038978040e-01
 5.551258922e-01 5.740000010e-01 2.044158429e-01
 5.533852577e-01 5.749999881e-01 2.049345076e-01
 5.516476631e-01 5.759999752e-01 2.054537535e-01
 5.499129891e-01 5.770000219e-01 2.059736550e-01
 5.481814146e-01 5.780000091e-01 2.064941376e-01
 5.464528203e-01 5.789999962e-01 2.070152164e-01
 5.447272062e-01 5.799999833e-01 2.075369358e-01
 5.430045724e-01 5.809999704e-01 2.080592513e-01
 5.412847996e-01 5.820000172e-01 2.085821927e-01
 5.395680666e-01 5.830000043e-01 2.091057301e-01
 5.378543139e-01 5.839999914e-01 2.096298933e-01
 5.361434817e-01 5.849999785e-01 2.101546824e-01
 5.344354510e-01 5.860000253e-01 2.106800973e-01
 5.327304602e-01 5.870000124e-01 2.112060934e-01
 5.310283303e-01 5.879999995e-01 2.117327452e-01
 5.293291211e-01 5.889999866e-01 2.122599781e-01
 5.276327729e-01 5.899999738e-01 2.127878219e-01
 5.259392262e-01 5.910000205e-01 2.133163363e-01
 5.242486596e-01 5.920000076e-01 2.138454318e-01
 5.225608945e-01 5.929999948e-01 2.143751681e-01
 5.208759904e-01 5.939999819e-01 2.149055302e-01
 5.191938281e-01 5.950000286e-01 2.154365331e-01
 5.175145864e-01 5.960000157e-01 2.159681320e-01
 5.158381462e-01 5.970000029e-01 2.165003568e-01
 5.141645670e-01 5.979999900e-01 2.170332074e-01
 5.124937296e-01 5.989999771e-01 2.175666690e-01
 5.108255744e-01 6.000000238e-01 2.181008160e-01
 5.091603398e-01 6.010000110e-01 2.186355293e-01
 5.074978471e-01 6.019999981e-01 2.191708982e-01
 5.058380961e-01 6.029999852e-01 2.197068930e-01
 5.041811466e-01 6.039999723e-01 2.202435136e-01
 5.025267601e-01 6.050000191e-01 2.207807899e-01
 5.008752942e-01 6.060000062e-01 2.213186920e-01
 4.992265105e-01 6.069999933e-01 2.218572050e-01
 4.975804389e-01 6.079999804e-01 2.223963439e-01
 4.959369600e-01 6.090000272e-01 2.229361683e-01
 4.942963123e-01 6.100000143e-01 2.234765887e-01
 4.926583171e-01 6.110000014e-01 2.240176499e-01
 4.910230041e-01 6.119999886e-01 2.245593518e-01
 4.893903732e-01 6.129999757e-01 2.251016796e-01
 4.877603054e-01 6.140000224e-01 2.256446928e-01
 4.861330092e-01 6.150000095e-01 2.261883020e-01
 4.845083356e-01 6.159999967e-01 2.267325521e-01
 4.828862846e-01 6.169999838e-01 2.272774726e-01
 4.812668562e-01 6.179999709e-01 2.278230190e-01
 4.796499908e-01 6.190000176e-01 2.283692211e-01
 4.780358076e-01 6.200000048e-01 2.289160490e-01
 4.764242172e-01 6.209999919e-01 2.294635326e-01
 4.748152196e-01 6.219999790e-01 2.300116420e-01
 4.732087255e-01 6.230000257e-01 2.305604368e-01
 4.716048837e-01 6.240000129e-01 2.311098576e-01
 4.700036347e-01 6.250000000e-01 2.316599190e-01
 4.684049189e-01 6.259999871e-01 2.322106361e-01
 4.668087661e-01 6.269999743e-01 2.327619791e-01
 4.652150869e-01 6.280000210e-01 2.333140373e-01
 4.636240005e-01 6.290000081e-01 2.338667214e-01
 4.620354772e-01 6.299999952e-01 2.344200313e-01
 4.604494572e-01 6.309999824e-01 2.349740267e-01
 4.588658512e-01 6.320000291e-01 2.355286777e-01
 4.572848380e-01 6.330000162e-01 2.360839844e-01
 4.557063282e-01 6.340000033e-01 2.366399169e-01
 4.541302919e-01 6.349999905e-01 2.371965349e-01
 4.525567591e-01 6.359999776e-01 2.377537936e-01
 4.509855807e-01 6.370000243e-01 2.383117527e-01
 4.494169652e-01 6.380000114e-01 2.388703525e-01
 4.478508234e-01 6.389999986e-01 2.394295931e-01
 4.462871253e-01 6.399999857e-01 2.399894893e-01
 4.447258711e-01 6.409999728e-01 2.405500710e-01
 4.431669414e-01 6.420000196e-01 2.411113679e-01
 4.416105449e-01 6.430000067e-01 2.416732609e-01
 4.400565624e-01 6.439999938e-01 2.422358245e-01
 4.385049939e-01 6.449999809e-01 2.427990735e-01
 4.369557202e-01 6.460000277e-01 2.433630228e-01
 4.354089499e-01 6.470000148e-01 2.439276129e-01
 4.338645935e-01 6.480000019e-01 2.444928586e-01
 4.323225915e-01 6.489999890e-01 2.450587749e-01
 4.307829440e-01 6.499999762e-01 2.456253767e-01
 4.292455912e-01 6.510000229e-01 2.461926937e-01
 4.277107120e-01 6.520000100e-01 2.467606366e-01
 4.261781573e-01 6.529999971e-01 2.473292649e-01
 4.246479571e-01 6.539999843e-01 2.478985488e-01
 4.231200814e-01 6.549999714e-01 2.484685481e-01
 4.215944707e-01 6.560000181e-01 2.490392327e-01
 4.200712442e-01 6.570000052e-01 2.496105880e-01
 4.185503721e-01 6.579999924e-01 2.501825988e-01
 4.170317650e-01 6.589999795e-01 2.507553101e-01
 4.155153930e-01 6.600000262e-01 2.513287365e-01
 4.140014052e-01 6.610000134e-01 2.519028187e-01
 4.124897122e-01 6.620000005e-01 2.524775863e-01
 4.109803140e-01 6.629999876e-01 2.530530095e-01
 4.094731808e-01 6.639999747e-01 2.536291480e-01
 4.079681933e-01 6.650000215e-01 2.542060316e-01
 4.064655900e-01 6.660000086e-01 2.547835410e-01
 4.049652517e-01 6.669999957e-01 2.553617358e-01
 4.034671187e-01 6.679999828e-01 2.559406459e-01
 4.019711614e-01 6.690000296e-01 2.565202713e-01
 4.004775286e-01 6.700000167e-01 2.571005821e-01
 3.989861310e-01 6.710000038e-01 2.576815486e-01
 3.974969387e-01 6.719999909e-01 2.582632303e-01
 3.960099816e-01 6.729999781e-01 2.588456273e-01
 3.945251405e-01 6.740000248e-01 2.594287395e-01
 3.930425644e-01 6.750000119e-01 2.600125074e-01
 3.915621936e-01 6.759999990e-01 2.605969906e-01
 3.900840282e-01 6.769999862e-01 2.611821890e-01
 3.886080384e-01 6.779999733e-01 2.617681026e-01
 3.871341348e-01 6.790000200e-01 2.623547316e-01
 3.856624663e-01 6.800000072e-01 2.629420161e-01
 3.841929734e-01 6.809999943e-01 2.635300457e-01
 3.827256560e-01 6.819999814e-01 2.641187608e-01
 3.812603652e-01 6.830000281e-01 2.647082210e-01
 3.797973394e-01 6.840000153e-01 2.652983665e-01
 3.783364296e-01 6.850000024e-01 2.658892274e-01
 3.768776655e-01 6.859999895e-01 2.664808035e-01
 3.754210174e-01 6.869999766e-01 2.670730948e-01
 3.739663959e-01 6.880000234e-01 2.676661313e-01
 3.725139797e-01 6.890000105e-01 2.682598531e-01
 3.710636795e-01 6.899999976e-01 2.688543200e-01
 3.696154654e-01 6.909999847e-01 2.694494724e-01
 3.681693673e-01 6.919999719e-01 2.700453401e-01
 3.667252660e-01 6.930000186e-01 2.706419826e-01
 3.652833104e-01 6.940000057e-01 2.712393105e-01
 3.638434410e-01 6.949999928e-01 2.718373537e-01
 3.624056578e-01 6.959999800e-01 2.724361420e-01
 3.609698415e-01 6.970000267e-01 2.730357051e-01
 3.595361710e-01 6.980000138e-01 2.736359537e-01
 3.581045270e-01 6.990000010e-01 2.742369175e-01
 3.566749692e-01 6.999999881e-01 2.748386264e-01
 3.552474380e-01 7.009999752e-01 2.754410505e-01
 3.538218439e-01 7.020000219e-01 2.760442793e-01
 3.523983657e-01 7.030000091e-01 2.766481936e-01
 3.509769142e-01 7.039999962e-01 2.772528529e-01
 3.495574892e-01 7.049999833e-01 2.778582275e-01
 3.481400907e-01 7.059999704e-01 2.784643471e-01
 3.467245996e-01 7.070000172e-01 2.790712416e-01
 3.453111649e-01 7.080000043e-01 2.796788812e-01
 3.438997567e-01 7.089999914e-01 2.802872360e-01
 3.424903452e-01 7.099999785e-01 2.808963358e-01
 3.410828114e-01 7.110000253e-01 2.815062106e-01
 3.396773636e-01 7.120000124e-01 2.821168303e-01
 3.382738531e-01 7.129999995e-01 2.827281654e-01
 3.368723392e-01 7.139999866e-01 2.833402753e-01
 3.354727626e-01 7.149999738e-01 2.839531302e-01
 3.340750933e-01 7.160000205e-01 2.845667601e-01
 3.326794207e-01 7.170000076e-01 2.851811349e-01
 3.312857151e-01 7.179999948e-01 2.857962847e-01
 3.298939466e-01 7.189999819e-01 2.864121497e-01
 3.285040259e-01 7.200000286e-01 2.870288193e-01
 3.271161318e-01 7.210000157e-01 2.876462340e-01
 3.257301450e-01 7.220000029e-01 2.882643938e-01
 3.243460655e-01 7.229999900e-01 2.888833284e-01
 3.229639232e-01 7.239999771e-01 2.895030379e-01
 3.215835989e-01 7.250000238e-01 2.901235521e-01
 3.202052414e-01 7.260000110e-01 2.907447815e-01
 3.188287914e-01 7.269999981e-01 2.913668156e-01
 3.174542487e-01 7.279999852e-01 2.919895947e-01
 3.160815835e-01 7.289999723e-01 2.926131487e-01
 3.147107065e-01 7.300000191e-01 2.932375073e-01
 3.133417964e-01 7.310000062e-01 2.938626409e-01
 3.119747639e-01 7.319999933e-01 2.944885194e-01
 3.106096089e-01 7.329999804e-01 2.951151729e-01
 3.092462122e-01 7.340000272e-01 2.957426906e-01
 3.078847528e-01 7.350000143e-01 2.963709235e-01
 3.065251708e-01 7.360000014e-01 2.969999313e-01
 3.051674068e-01 7.369999886e-01 2.976297438e-01
 3.038114905e-01 7.379999757e-01 2.982603610e-01
 3.024573326e-01 7.390000224e-01 2.988917828e-01
 3.011050820e-01 7.400000095e-01 2.995239496e-01
 2.997546494e-01 7.409999967e-01 3.001569510e-01
 2.984060645e-01 7.419999838e-01 3.007907271e-01
 2.970592678e-01 7.429999709e-01 3.014252782e-01
 2.957142293e-01 7.440000176e-01 3.020606935e-01
 2.943710685e-01 7.450000048e-01 3.026968837e-01
 2.930296957e-01 7.459999919e-01 3.033338487e-01
 2.916901112e-01 7.469999790e-01 3.039716482e-01
 2.903522551e-01 7.480000257e-01 3.046102524e-01
 2.890162766e-01 7.490000129e-01 3.052496314e-01
 2.876820862e-01 7.500000000e-01 3.058898449e-01
 2.863496542e-01 7.509999871e-01 3.065308630e-01
 2.850189805e-01 7.519999743e-01 3.071726859e-01
 2.836900353e-01 7.530000210e-01 3.078153729e-01
 2.823629081e-01 7.540000081e-01 3.084588051e-01
 2.810375392e-01 7.549999952e-01 3.091031015e-01
 2.797139287e-01 7.559999824e-01 3.097482026e-01
 2.783919871e-01 7.570000291e-01 3.103941679e-01
 2.770718634e-01 7.580000162e-01 3.110409081e-01
 2.757534981e-01 7.590000033e-01 3.116884828e-01
 2.744368613e-01 7.599999905e-01 3.123368919e-01
 2.731219530e-01 7.609999776e-01 3.129861057e-01
 2.718086839e-01 7.620000243e-01 3.136362135e-01
 2.704972327e-01 7.630000114e-01 3.142870963e-01
 2.691874802e-01 7.639999986e-01 3.149388433e-01
 2.678794563e-01 7.649999857e-01 3.155913949e-01
 2.665731311e-01 7.659999728e-01 3.162448108e-01
 2.652684450e-01 7.670000196e-01 3.168991208e-01
 2.639655471e-01 7.680000067e-01 3.175542057e-01
 2.626643181e-01 7.689999938e-01 3.182101250e-01
 2.613647878e-01 7.699999809e-01 3.188669086e-01
 2.600668669e-01 7.710000277e-01 3.195245862e-01
 2.587707043e-01 7.720000148e-01 3.201830983e-01
 2.574762404e-01 7.730000019e-01 3.208424151e-01
 2.561834157e-01 7.739999890e-01 3.215026259e-01
 2.548922896e-01 7.749999762e-01 3.221637011e-01
 2.536027431e-01 7.760000229e-01 3.228256404e-01
 2.523149252e-01 7.770000100e-01 3.234884143e-01
 2.510287464e-01 7.779999971e-01 3.241520524e-01
 2.497442514e-01 7.789999843e-01 3.248165846e-01
 2.484613955e-01 7.799999714e-01 3.254819512e-01
 2.471801043e-01 7.810000181e-01 3.261482418e-01
 2.459005266e-01 7.820000052e-01 3.268153667e-01
 2.446225882e-01 7.829999924e-01 3.274833560e-01
 2.433462888e-01 7.839999795e-01 3.281522393e-01
 2.420715243e-01 7.850000262e-01 3.288220167e-01
 2.407984734e-01 7.860000134e-01 3.294926584e-01
 2.395270318e-01 7.870000005e-01 3.301641643e-01
 2.382571995e-01 7.879999876e-01 3.308365941e-01
 2.369889915e-01 7.889999747e-01 3.315098584e-01
 2.357223034e-01 7.900000215e-01 3.321841061e-01
 2.344572991e-01 7.910000086e-01 3.328591883e-01
 2.331938893e-01 7.919999957e-01 3.335351646e-01
 2.319320738e-01 7.929999828e-01 3.342120349e-01
 2.306717783e-01 7.940000296e-01 3.348898292e-01
 2.294131368e-01 7.950000167e-01 3.355685174e-01
 2.281560898e-01 7.960000038e-01 3.362480700e-01
 2.269006073e-01 7.969999909e-01 3.369285762e-01
 2.256467044e-01 7.979999781e-01 3.376099765e-01
 2.243943065e-01 7.990000248e-01 3.382923007e-01
 2.231435329e-01 8.000000119e-01 3.389755487e-01
 2.218943387e-01 8.009999990e-01 3.396596909e-01
 2.206466943e-01 8.019999862e-01 3.403447270e-01
 2.194005996e-01 8.029999733e-01 3.410307169e-01
 2.181559801e-01 8.040000200e-01 3.417176902e-01
 2.169129997e-01 8.050000072e-01 3.424054980e-01
 2.156715393e-01 8.059999943e-01 3.430942893e-01
 2.144316286e-01 8.069999814e-01 3.437839746e-01
 2.131931931e-01 8.080000281e-01 3.444746435e-01
 2.119563371e-01 8.090000153e-01 3.451662362e-01
 2.107210308e-01 8.100000024e-01 3.458587229e-01
 2.094872445e-01 8.109999895e-01 3.465521932e-01
 2.082549632e-01 8.119999766e-01 3.472465873e-01
 2.070241421e-01 8.130000234e-01 3.479419649e-01
 2.057949007e-01 8.140000105e-01 3.486382663e-01
 2.045671642e-01 8.149999976e-01 3.493355215e-01
 2.033409476e-01 8.159999847e-01 3.500337303e-01
 2.021162212e-01 8.169999719e-01 3.507329226e-01
 2.008929253e-01 8.180000186e-01 3.514330983e-01
 1.996711940e-01 8.190000057e-01 3.521341681e-01
 1.984509528e-01 8.199999928e-01 3.528362513e-01
 1.972321868e-01 8.209999800e-01 3.535392880e-01
 1.960148513e-01 8.220000267e-01 3.542433381e-01
 1.947990656e-01 8.230000138e-01 3.549483418e-01
 1.935847551e-01 8.240000010e-01 3.556542993e-01
 1.923719049e-01 8.249999881e-01 3.563612401e-01
 1.911605299e-01 8.259999752e-01 3.570691943e-01
 1.899505556e-01 8.270000219e-01 3.577781618e-01
 1.887421161e-01 8.280000091e-01 3.584880531e-01
 1.875351220e-01 8.289999962e-01 3.591989875e-01
 1.863296032e-01 8.299999833e-01 3.599109054e-01
 1.851255149e-01 8.309999704e-01 3.606238067e-01
 1.839228123e-01 8.320000172e-01 3.613377512e-01
 1.827216297e-01 8.330000043e-01 3.620526791e-01
 1.815218925e-01 8.339999914e-01 3.627686203e-01
 1.803235859e-01 8.349999785e-01 3.634855747e-01
 1.791266352e-01 8.360000253e-01 3.642035723e-01
 1.779311895e-01 8.370000124e-01 3.649225533e-01
 1.767371744e-01 8.379999995e-01 3.656425774e-01
 1.755445898e-01 8.389999866e-01 3.663635850e-01
 1.743534207e-01 8.399999738e-01 3.670856655e-01
 1.731635928e-01 8.410000205e-01 3.678088188e-01
 1.719752550e-01 8.420000076e-01 3.685329556e-01
 1.707883328e-01 8.429999948e-01 3.692581356e-01
 1.696028113e-01 8.439999819e-01 3.699843585e-01
 1.684186161e-01 8.450000286e-01 3.707116842e-01
 1.672358960e-01 8.460000157e-01 3.714399934e-01
 1.660545766e-01 8.470000029e-01 3.721693754e-01
 1.648746580e-01 8.479999900e-01 3.728998005e-01
 1.636961251e-01 8.489999771e-01 3.736312985e-01
 1.625189036e-01 8.500000238e-01 3.743638992e-01
 1.613431424e-01 8.510000110e-01 3.750975430e-01
 1.601687521e-01 8.519999981e-01 3.758322597e-01
 1.589957476e-01 8.529999852e-01 3.765680194e-01
 1.578241140e-01 8.539999723e-01 3.773049116e-01
 1.566537917e-01 8.550000191e-01 3.780428767e-01
 1.554848999e-01 8.560000062e-01 3.787819147e-01
 1.543173641e-01 8.569999933e-01 3.795220554e-01
 1.531511992e-01 8.579999804e-01 3.802632689e-01
 1.519863307e-01 8.590000272e-01 3.810056448e-01
 1.508228779e-01 8.600000143e-01 3.817490935e-01
 1.496607661e-01 8.610000014e-01 3.824936152e-01
 1.485000253e-01 8.619999886e-01 3.832392693e-01
 1.473406106e-01 8.629999757e-01 3.839860559e-01
 1.461824775e-01 8.640000224e-01 3.847339749e-01
 1.450257599e-01 8.650000095e-01 3.854829967e-01
 1.438703686e-01 8.659999967e-01 3.862331510e-01
 1.427163184e-01 8.669999838e-01 3.869844377e-01
 1.415635943e-01 8.679999709e-01 3.877368569e-01
 1.404121369e-01 8.690000176e-01 3.884904385e-01
 1.392620653e-01 8.700000048e-01 3.892451525e-01
 1.381133050e-01 8.709999919e-01 3.900010288e-01
 1.369658858e-01 8.719999790e-01 3.907580376e-01
 1.358196884e-01 8.730000257e-01 3.915162683e-01
 1.346748918e-01 8.740000129e-01 3.922756016e-01
 1.335313916e-01 8.750000000e-01 3.930360973e-01
 1.323892027e-01 8.759999871e-01 3.937977850e-01
 1.312483102e-01 8.769999743e-01 3.945606649e-01
 1.301086545e-01 8.780000210e-01 3.953247666e-01
 1.289703697e-01 8.790000081e-01 3.960900009e-01
 1.278333813e-01 8.799999952e-01 3.968564272e-01
 1.266976744e-01 8.809999824e-01 3.976240456e-01
 1.255631894e-01 8.820000291e-01 3.983929455e-01
 1.244300604e-01 8.830000162e-01 3.991629779e-01
 1.232982129e-01 8.840000033e-01 3.999342322e-01
 1.221676469e-01 8.849999905e-01 4.007067084e-01
 1.210383549e-01 8.859999776e-01 4.014804363e-01
 1.199102700e-01 8.870000243e-01 4.022554159e-01
 1.187835261e-01 8.880000114e-01 4.030315876e-01
 1.176580414e-01 8.889999986e-01 4.038090110e-01
 1.165338308e-01 8.899999857e-01 4.045876563e-01
 1.154108793e-01 8.909999728e-01 4.053675830e-01
 1.142891273e-01 8.920000196e-01 4.061487913e-01
 1.131686941e-01 8.930000067e-01 4.069312215e-01
 1.120495126e-01 8.939999938e-01 4.077149332e-01
 1.109315827e-01 8.949999809e-01 4.084998965e-01
 1.098148376e-01 8.960000277e-01 4.092862010e-01
 1.086994037e-01 8.970000148e-01 4.100737572e-01
 1.075852066e-01 8.980000019e-01 4.108625948e-01
 1.064722538e-01 8.989999890e-01 4.116527438e-01
 1.053605452e-01 8.999999762e-01 4.124441743e-01
 1.042499989e-01 9.010000229e-01 4.132369757e-01
 1.031407490e-01 9.020000100e-01 4.140310585e-01
 1.020327285e-01 9.029999971e-01 4.148264825e-01
 1.009259373e-01 9.039999843e-01 4.156232178e-01
 9.982036799e-02 9.049999714e-01 4.164212942e-01
 9.871595353e-02 9.060000181e-01 4.172207415e-01
 9.761282057e-02 9.070000052e-01 4.180215001e-01
 9.651090950e-02 9.079999924e-01 4.188236594e-01
 9.541020542e-02 9.089999795e-01 4.196271300e-01
 9.431064874e-02 9.100000262e-01 4.204320610e-01
 9.321236610e-02 9.110000134e-01 4.212383032e-01
 9.211529046e-02 9.120000005e-01 4.220459461e-01
 9.101941437e-02 9.129999876e-01 4.228549600e-01
 8.992473781e-02 9.139999747e-01 4.236654043e-01
 8.883119375e-02 9.150000215e-01 4.244772792e-01
 8.773890138e-02 9.160000086e-01 4.252905548e-01
 8.664780855e-02 9.169999957e-01 4.261052310e-01
 8.555790782e-02 9.179999828e-01 4.269213676e-01
 8.446912467e-02 9.190000296e-01 4.277389646e-01
 8.338159323e-02 9.200000167e-01 4.285579920e-01
 8.229523897e-02 9.210000038e-01 4.293784499e-01
 8.121006191e-02 9.219999909e-01 4.302003980e-01
 8.012606949e-02 9.229999781e-01 4.310238063e-01
 7.904317975e-02 9.240000248e-01 4.318487644e-01
 7.796152681e-02 9.250000119e-01 4.326751530e-01
 7.688104361e-02 9.259999990e-01 4.335030615e-01
 7.580173016e-02 9.269999862e-01 4.343324602e-01
 7.472357154e-02 9.279999733e-01 4.351633787e-01
 7.364651561e-02 9.290000200e-01 4.359959066e-01
 7.257068157e-02 9.300000072e-01 4.368298948e-01
 7.149600983e-02 9.309999943e-01 4.376654327e-01
 7.042248547e-02 9.319999814e-01 4.385025501e-01
 6.935004890e-02 9.330000281e-01 4.393412769e-01
 6.827882677e-02 9.340000153e-01 4.401815534e-01
 6.720874459e-02 9.350000024e-01 4.410234094e-01
 6.613981724e-02 9.359999895e-01 4.418668747e-01
 6.507202238e-02 9.369999766e-01 4.427119195e-01
 6.400530785e-02 9.380000234e-01 4.435586929e-01
 6.293978542e-02 9.390000105e-01 4.444070160e-01
 6.187540665e-02 9.399999976e-01 4.452569783e-01
 6.081215665e-02 9.409999847e-01 4.461086392e-01
 5.975003541e-02 9.419999719e-01 4.469619393e-01
 5.868897587e-02 9.430000186e-01 4.478169978e-01
 5.762910843e-02 9.440000057e-01 4.486736655e-01
 5.657035857e-02 9.449999928e-01 4.495320916e-01
 5.551273003e-02 9.459999800e-01 4.503922164e-01
 5.445615575e-02 9.470000267e-01 4.512541294e-01
 5.340076238e-02 9.480000138e-01 4.521177411e-01
 5.234647915e-02 9.490000010e-01 4.529831111e-01
 5.129330605e-02 9.499999881e-01 4.538502693e-01
 5.024124309e-02 9.509999752e-01 4.547192156e-01
 4.919021949e-02 9.520000219e-01 4.555900097e-01
 4.814036563e-02 9.530000091e-01 4.564626217e-01
 4.709161073e-02 9.539999962e-01 4.573370218e-01
 4.604395479e-02 9.549999833e-01 4.582132995e-01
 4.499739781e-02 9.559999704e-01 4.590914547e-01
 4.395186901e-02 9.570000172e-01 4.599715769e-01
 4.290749505e-02 9.580000043e-01 4.608535171e-01
 4.186421260e-02 9.589999914e-01 4.617373943e-01
 4.082201794e-02 9.599999785e-01 4.626232088e-01
 3.978084400e-02 9.610000253e-01 4.635110497e-01
 3.874081373e-02 9.620000124e-01 4.644008279e-01
 3.770186752e-02 9.629999995e-01 4.652926028e-01
 3.666399792e-02 9.639999866e-01 4.661864340e-01
 3.562720492e-02 9.649999738e-01 4.670822620e-01
 3.459142521e-02 9.660000205e-01 4.679802358e-01
 3.355677426e-02 9.670000076e-01 4.688802660e-01
 3.252319619e-02 9.679999948e-01 4.697823822e-01
 3.149068728e-02 9.689999819e-01 4.706866741e-01
 3.045917861e-02 9.700000286e-01 4.715931416e-01
 2.942879498e-02 9.710000157e-01 4.725017846e-01
 2.839947119e-02 9.720000029e-01 4.734126329e-01
 2.737120725e-02 9.729999900e-01 4.743257463e-01
 2.634399943e-02 9.739999771e-01 4.752411246e-01
 2.531778440e-02 9.750000238e-01 4.761588871e-01
 2.429268137e-02 9.760000110e-01 4.770789146e-01
 2.326862887e-02 9.769999981e-01 4.780013263e-01
 2.224562317e-02 9.779999852e-01 4.789261818e-01
 2.122366428e-02 9.789999723e-01 4.798534513e-01
 2.020268701e-02 9.800000191e-01 4.807832837e-01
 1.918281242e-02 9.810000062e-01 4.817155898e-01
 1.816397719e-02 9.819999933e-01 4.826504886e-01
 1.714617945e-02 9.829999804e-01 4.835879803e-01
 1.612935401e-02 9.840000272e-01 4.845282137e-01
 1.511362288e-02 9.850000143e-01 4.854711294e-01
 1.409892272e-02 9.860000014e-01 4.864168167e-01
 1.308525074e-02 9.869999886e-01 4.873653650e-01
 1.207260601e-02 9.879999757e-01 4.883168042e-01
 1.106092427e-02 9.890000224e-01 4.892712831e-01
 1.005032659e-02 9.900000095e-01 4.902287722e-01
 9.040747769e-03 9.909999967e-01 4.911894202e-01
 8.032187819e-03 9.919999838e-01 4.921532869e-01
 7.024644408e-03 9.929999709e-01 4.931205213e-01
 6.018054672e-03 9.940000176e-01 4.940912724e-01
 5.012536887e-03 9.950000048e-01 4.950655997e-01
