Calculated tabulations of H2O line broadening by H2O, N2, O2, and CO2 
at high temperature. Delaye, C., Hartmann, J-M., & Taine, J. Applied 
Optics, 28, 5080-5087, 1989.

Lorentz width is tabulated at 300 K and 1 atmosphere.
Based on calculations at 300, 750, & 2000 K for Q branch lines.
Lorentz width at temperature T is given by the expression:

      al(T) = al(300K)*(300/T)**N

Both al(300K) and N are tabulated below.

Line   Lower Level  H2O - CO2    H2O - H2O    H2O - N2     H2O - O2

J  Ka Kc   E(cm-1)  al(300) N    al(300) N    al(300) N    al(300) N    

 8  6  2  1411.65    72.0 0.52   249.5 0.55    49.5 0.25   33.5 0.45
 8  8  0  1789.04    69.4 0.74   139.9 0.38    26.2 0.24   22.3 0.34
 8  1  7   882.89    68.4 0.32   350.8 0.63    62.6 0.46   34.0 0.40
 8  3  5  1050.16   117.1 0.43   404.3 0.80    98.2 0.75   58.8 0.63
 8  5  3  1255.91    75.1 0.42   317.8 0.64    62.3 0.51   37.9 0.49
 8  7  1  1590.69    67.2 0.59   184.9 0.44    34.1 0.24   28.8 0.40
 8  1  8   744.16    64.1 0.41   297.7 0.53    50.5 0.33   25.8 0.26
 8  3  6  1006.12    67.3 0.29   338.4 0.61    68.3 0.52   37.1 0.45
 8  5  4  1255.17    72.2 0.43   303.4 0.61    57.6 0.45   36.1 0.46
 8  7  2  1590.69    67.2 0.59   184.9 0.44    34.1 0.24   28.8 0.40
 8  2  7   885.60    72.6 0.42   310.4 0.55    56.2 0.40   31.7 0.37
 8  4  5  1122.71    73.9 0.36   330.8 0.62    69.2 0.55   38.7 0.48
 8  6  3  1411.61    70.7 0.51   247.0 0.54    44.6 0.34   33.3 0.44
 8  8  1  1789.04    69.4 0.74   139.9 0.38    26.2 0.24   22.3 0.34
 9  2  8  1080.39    65.4 0.44   291.3 0.53    44.3 0.28   25.6 0.29
 9  4  6  1340.89    59.6 0.25   343.6 0.64    64.1 0.50   34.0 0.42
 9  6  4  1631.25    64.2 0.43   264.2 0.57    44.5 0.33   30.1 0.38
 9  8  2  2009.80    60.3 0.60   174.8 0.46    26.1 0.14   24.0 0.32
 9  1  9   920.21    56.5 0.42   253.3 0.45    39.6 0.20   19.9 0.16
 9  3  7  1216.23    56.7 0.24   332.4 0.61    58.5 0.44   46.1 0.55
 9  5  5  1474.98    66.6 0.37   309.5 0.62    56.9 0.45   32.8 0.41
 9  7  3  1810.58    64.6 0.53   204.5 0.47    34.0 0.22   28.1 0.37
