################ NH3 FUV Absorption Cross Section  ####################
Source Liang et al. (2007), interpolated to 0.01 nm
 
 COLUMN 1:      vacuum wavelength (nm) 
 COLUMN 2:      cross section (cm^2/molecule)   @300
 
DATE OF FILE CREATION: 11.09.2018 - Henrik Melin
 
NUMBER OF LINES: 8601
      142.340  2.06739e-18
      142.350  2.00846e-18
      142.360  1.94961e-18
      142.370  1.99863e-18
      142.380  2.04773e-18
      142.390  2.00923e-18
      142.400  1.97074e-18
      142.410  2.02028e-18
      142.420  2.06975e-18
      142.430  2.07743e-18
      142.440  2.08512e-18
      142.450  2.15843e-18
      142.460  2.23186e-18
      142.470  2.48840e-18
      142.480  2.74494e-18
      142.490  3.78415e-18
      142.500  4.82178e-18
      142.510  4.55783e-18
      142.520  4.29348e-18
      142.530  4.34698e-18
      142.540  4.40047e-18
      142.550  4.50407e-18
      142.560  4.60751e-18
      142.570  4.21841e-18
      142.580  3.82991e-18
      142.590  3.38758e-18
      142.600  2.94458e-18
      142.610  3.93712e-18
      142.620  4.92966e-18
      142.630  4.49672e-18
      142.640  4.06443e-18
      142.650  3.82307e-18
      142.660  3.58135e-18
      142.670  3.08150e-18
      142.680  2.58165e-18
      142.690  2.93111e-18
      142.700  3.28004e-18
      142.710  2.86018e-18
      142.720  2.44096e-18
      142.730  2.58486e-18
      142.740  2.72898e-18
      142.750  3.33420e-18
      142.760  3.93941e-18
      142.770  3.44672e-18
      142.780  2.95478e-18
      142.790  2.65916e-18
      142.800  2.36309e-18
      142.810  2.39166e-18
      142.820  2.42027e-18
      142.830  2.39049e-18
      142.840  2.36072e-18
      142.850  2.58270e-18
      142.860  2.80434e-18
      142.870  2.83062e-18
      142.880  2.85695e-18
      142.890  2.72580e-18
      142.900  2.59465e-18
      142.910  2.48558e-18
      142.920  2.37668e-18
      142.930  2.42142e-18
      142.940  2.46623e-18
      142.950  2.17806e-18
      142.960  1.88946e-18
      142.970  1.82532e-18
      142.980  1.76119e-18
      142.990  1.68673e-18
      143.000  1.61238e-18
      143.010  1.60766e-18
      143.020  1.60293e-18
      143.030  1.56517e-18
      143.040  1.52741e-18
      143.050  1.59404e-18
      143.060  1.66056e-18
      143.070  1.65036e-18
      143.080  1.64017e-18
      143.090  1.62274e-18
      143.100  1.60529e-18
      143.110  1.64009e-18
      143.120  1.67489e-18
      143.130  1.63755e-18
      143.140  1.60027e-18
      143.150  1.63290e-18
      143.160  1.66558e-18
      143.170  1.59140e-18
      143.180  1.51722e-18
      143.190  1.49474e-18
      143.200  1.47229e-18
      143.210  1.46356e-18
      143.220  1.45485e-18
      143.230  1.44821e-18
      143.240  1.44155e-18
      143.250  1.57403e-18
      143.260  1.70652e-18
      143.270  1.91497e-18
