CARBON DIOXIDE LINE WIDTHS.  
                             
SOURCE, YAMOMOTO, G., TANAKA, M., & AOKI, T. 1969.                              
        J.Q.S.R.T. 9, 371-382.                                                  
                                                          
PROCESSED CO2 LINE WIDTHS.   
                             
A(T) = A(T0)*(T0/T)**N, T0=300K.                                                
                             
2M = 2J (P BRANCH), = 2J+1 (Q BRANCH), = 2J+2 (R BRANCH).                       
                             
DATA FORMAT, I4,2(F12.4,F12.3),2F10.6.                                          
                             
   2M   A(CO2-CO2)  N(CO2-CO2)  A(CO2-N2)   N(CO2-N2)   E(CO2)    E(N2)         
  91      0.0680       0.214      0.0656       0.615  0.000001  0.000361        
  92      0.0674       0.216      0.0655       0.610  0.000031  0.000349        
  93      0.0668       0.219      0.0654       0.605  0.000077  0.000368        
  94      0.0663       0.223      0.0653       0.600  0.000123  0.000388        
  95      0.0657       0.226      0.0652       0.596  0.000169  0.000408        
  96      0.0651       0.229      0.0651       0.591  0.000216  0.000428        
  97      0.0646       0.235      0.0650       0.585  0.000223  0.000469        
  98      0.0641       0.240      0.0649       0.579  0.000230  0.000509        
  99      0.0635       0.246      0.0647       0.573  0.000237  0.000550        
 100      0.0630       0.252      0.0646       0.567  0.000244  0.000591        
 101      0.0626       0.257      0.0645       0.562  0.000269  0.000580        
 102      0.0621       0.262      0.0644       0.558  0.000294  0.000569        
 103      0.0617       0.268      0.0643       0.553  0.000319  0.000557        
 104      0.0612       0.273      0.0642       0.548  0.000343  0.000546        
 105      0.0608       0.280      0.0641       0.542  0.000340  0.000538        
 106      0.0604       0.286      0.0640       0.536  0.000336  0.000529        
 107      0.0600       0.293      0.0638       0.529  0.000331  0.000521        
 108      0.0596       0.300      0.0637       0.523  0.000327  0.000513        
 109      0.0592       0.307      0.0635       0.518  0.000330  0.000516        
 110      0.0589       0.315      0.0634       0.512  0.000333  0.000520        
 111      0.0586       0.322      0.0633       0.507  0.000335  0.000523        
 112      0.0582       0.329      0.0631       0.502  0.000338  0.000527        
 113      0.0579       0.335      0.0629       0.497  0.000344  0.000543        
 114      0.0576       0.340      0.0627       0.493  0.000350  0.000558        
 115      0.0574       0.346      0.0626       0.488  0.000356  0.000573        
 116      0.0571       0.352      0.0624       0.484  0.000362  0.000589        
 117      0.0569       0.357      0.0622       0.478  0.000368  0.000593        
 118      0.0566       0.363      0.0621       0.473  0.000374  0.000597        
 119      0.0563       0.368      0.0619       0.467  0.000379  0.000602        
 120      0.0561       0.374      0.0617       0.462  0.000385  0.000606        
 121      0.0559       0.380      0.0616       0.456  0.000373  0.000586        
 122      0.0557       0.386      0.0614       0.450  0.000360  0.000565        
 123      0.0555       0.392      0.0613       0.444  0.000348  0.000545        
 124      0.0553       0.398      0.0611       0.438  0.000335  0.000525        
 125      0.0552       0.402      0.0609       0.433  0.000327  0.000523        
 126      0.0550       0.406      0.0608       0.427  0.000318  0.000521        
 127      0.0548       0.410      0.0606       0.422  0.000309  0.000520        
 128      0.0547       0.414      0.0604       0.416  0.000301  0.000518        
 129      0.0545       0.419      0.0602       0.413  0.000299  0.000514        
 130      0.0544       0.424      0.0600       0.409  0.000297  0.000509        
 131      0.0543       0.429      0.0598       0.406  0.000295  0.000505        
 132      0.0541       0.433      0.0596       0.402  0.000293  0.000501        
 133      0.0540       0.437      0.0594       0.399  0.000278  0.000497        
 134      0.0539       0.440      0.0592       0.395  0.000262  0.000492        
 135      0.0538       0.443      0.0590       0.392  0.000246  0.000488        
 136      0.0537       0.447      0.0588       0.388  0.000231  0.000484        
 137      0.0536       0.449      0.0586       0.384  0.000226  0.000480        
 138      0.0536       0.451      0.0584       0.380  0.000222  0.000476        
 139      0.0535       0.453      0.0582       0.377  0.000217  0.000472        
 140      0.0534       0.455      0.0580       0.373  0.000212  0.000468        
 141      0.0533       0.458      0.0578       0.369  0.000190  0.000457        
 142      0.0532       0.461      0.0576       0.366  0.000167  0.000446        
 143      0.0532       0.464      0.0575       0.362  0.000144  0.000435        
 144      0.0531       0.466      0.0573       0.359  0.000122  0.000424        
 145      0.0531       0.468      0.0571       0.356  0.000117  0.000424        
 146      0.0530       0.470      0.0569       0.354  0.000112  0.000425        
 147      0.0529       0.472      0.0567       0.351  0.000108  0.000425        
 148      0.0529       0.474      0.0565       0.349  0.000103  0.000425        
 149      0.0528       0.476      0.0563       0.346  0.000099  0.000382        
 150      0.0528       0.478      0.0561       0.343  0.000094  0.000339        
 151      0.0528       0.480      0.0560       0.339  0.000090  0.000296        
 152      0.0527       0.482      0.0558       0.336  0.000085  0.000254        
 153      0.0527       0.483      0.0556       0.335  0.000092  0.000257        
 154      0.0527       0.484      0.0554       0.334  0.000099  0.000261        
 155      0.0526       0.484      0.0552       0.333  0.000105  0.000265        
 156      0.0526       0.485      0.0550       0.332  0.000112  0.000269        
 157      0.0526       0.486      0.0548       0.332  0.000101  0.000266        
 158      0.0526       0.488      0.0546       0.331  0.000089  0.000263        
 159      0.0525       0.489      0.0544       0.331  0.000078  0.000260        
 160      0.0525       0.490      0.0542       0.330  0.000067  0.000256        
 161      0.0525       0.491      0.0540       0.329  0.000055  0.000235        
 162      0.0525       0.493      0.0538       0.328  0.000044  0.000214        
 163      0.0524       0.494      0.0537       0.327  0.000032  0.000193        
 164      0.0524       0.495      0.0535       0.325  0.000021  0.000172        
 165      0.0524       0.495      0.0533       0.325  0.000039  0.000169        
 166      0.0524       0.494      0.0531       0.324  0.000057  0.000165        
 167      0.0524       0.494      0.0530       0.323  0.000075  0.000162        
 168      0.0524       0.493      0.0528       0.323  0.000093  0.000159        
 169      0.0524       0.494      0.0526       0.323  0.000075  0.000142        
 170      0.0523       0.494      0.0525       0.323  0.000057  0.000124        
 171      0.0523       0.495      0.0523       0.324  0.000039  0.000107        
 172      0.0523       0.496      0.0521       0.324  0.000020  0.000089        
 173      0.0523       0.496      0.0520       0.324  0.000020  0.000079        
 174      0.0523       0.496      0.0518       0.324  0.000020  0.000068        
 175      0.0523       0.496      0.0517       0.324  0.000020  0.000058        
 176      0.0523       0.496      0.0515       0.323  0.000020  0.000048        
 177      0.0523       0.496      0.0513       0.324  0.000020  0.000030        
 178      0.0523       0.496      0.0512       0.324  0.000020  0.000012        
 179      0.0523       0.496      0.0511       0.324  0.000020  0.000005        
 180      0.0523       0.496      0.0509       0.325  0.000020  0.000023        
 181      0.0523       0.496      0.0508       0.326  0.000020  0.000029        
 182      0.0523       0.496      0.0506       0.327  0.000020  0.000036        
 183      0.0523       0.496      0.0504       0.329  0.000020  0.000043        
 184      0.0523       0.496      0.0503       0.330  0.000020  0.000050        
 185      0.0523       0.496      0.0502       0.332  0.000020  0.000056        
 186      0.0523       0.496      0.0500       0.334  0.000020  0.000063        
 187      0.0523       0.496      0.0499       0.335  0.000020  0.000070        
 188      0.0523       0.496      0.0497       0.337  0.000020  0.000076        
 189      0.0523       0.497      0.0496       0.338  0.000009  0.000083        
 190      0.0522       0.498      0.0494       0.339  0.000002  0.000090        
 191      0.0522       0.500      0.0493       0.341  0.000014  0.000097        
 192      0.0522       0.501      0.0492       0.342  0.000025  0.000104        
 193      0.0522       0.501      0.0491       0.344  0.000025  0.000117        
 194      0.0522       0.501      0.0490       0.346  0.000025  0.000131        
 195      0.0522       0.501      0.0488       0.348  0.000025  0.000145        
 196      0.0522       0.501      0.0487       0.350  0.000025  0.000159        
 197      0.0522       0.501      0.0486       0.351  0.000025  0.000159        
 198      0.0522       0.501      0.0485       0.352  0.000025  0.000158        
 199      0.0522       0.501      0.0484       0.352  0.000025  0.000158        
 200      0.0522       0.501      0.0483       0.353  0.000025  0.000158        
