################ C2H2 FUV Absorption Cross Section  ####################
Source Smith et al. (1991), interpolated to 0.01 nm up to 190 nm
Source Benilian et al. (2000), interpolated to 0.01 nm above and including 190 nm
 
 COLUMN 1:      vacuum wavelength (nm) 
 COLUMN 2:      cross section (cm^2/molecule)   @195K/173K
 COLUMN 3:      cross section (cm^2/molecule)   @295K/293K
 
DATE OF FILE CREATION: 11.09.2018 - Henrik Melin
 
NUMBER OF LINES: 5000
      141.410  2.02633e-18  2.02633e-18
      141.420  2.02552e-18  2.02552e-18
      141.430  2.02471e-18  2.02471e-18
      141.440  2.03046e-18  2.03046e-18
      141.450  2.02310e-18  2.02310e-18
      141.460  2.00506e-18  2.00506e-18
      141.470  1.97263e-18  1.97263e-18
      141.480  1.98746e-18  1.98746e-18
      141.490  2.06910e-18  2.06910e-18
      141.500  2.11756e-18  2.11756e-18
      141.510  2.27737e-18  2.27737e-18
      141.520  2.40083e-18  2.40083e-18
      141.530  2.44974e-18  2.44974e-18
      141.540  2.40984e-18  2.40984e-18
      141.550  2.41681e-18  2.41681e-18
      141.560  2.50081e-18  2.50081e-18
      141.570  2.50511e-18  2.50511e-18
      141.580  2.50683e-18  2.50683e-18
      141.590  2.59668e-18  2.59668e-18
      141.600  2.80783e-18  2.80783e-18
      141.610  3.34860e-18  3.34860e-18
      141.620  3.17216e-18  3.17216e-18
      141.630  3.25593e-18  3.25593e-18
      141.640  3.31384e-18  3.31384e-18
      141.650  3.34636e-18  3.34636e-18
      141.660  3.35691e-18  3.35691e-18
      141.670  3.63311e-18  3.63311e-18
      141.680  3.72118e-18  3.72118e-18
      141.690  3.66307e-18  3.66307e-18
      141.700  3.60376e-18  3.60376e-18
      141.710  3.47271e-18  3.47271e-18
      141.720  3.53065e-18  3.53065e-18
      141.730  3.41679e-18  3.41679e-18
      141.740  3.23422e-18  3.23422e-18
      141.750  3.28985e-18  3.28985e-18
      141.760  3.06002e-18  3.06002e-18
      141.770  2.77970e-18  2.77970e-18
      141.780  2.42592e-18  2.42592e-18
      141.790  2.35866e-18  2.35866e-18
      141.800  2.30881e-18  2.30881e-18
      141.810  2.29121e-18  2.29121e-18
      141.820  2.31864e-18  2.31864e-18
      141.830  2.64402e-18  2.64402e-18
      141.840  2.79581e-18  2.79581e-18
      141.850  2.95106e-18  2.95106e-18
      141.860  2.89906e-18  2.89906e-18
      141.870  3.01039e-18  3.01039e-18
      141.880  3.06598e-18  3.06598e-18
      141.890  3.12186e-18  3.12186e-18
      141.900  3.18383e-18  3.18383e-18
      141.910  3.10723e-18  3.10723e-18
      141.920  3.10047e-18  3.10047e-18
      141.930  3.24789e-18  3.24789e-18
      141.940  3.34912e-18  3.34912e-18
      141.950  3.37520e-18  3.37520e-18
      141.960  3.43458e-18  3.43458e-18
      141.970  3.63275e-18  3.63275e-18
      141.980  3.77228e-18  3.77228e-18
      141.990  3.74799e-18  3.74799e-18
      142.000  3.53898e-18  3.53898e-18
      142.010  3.35529e-18  3.35529e-18
      142.020  3.30088e-18  3.30088e-18
      142.030  3.10670e-18  3.10670e-18
      142.040  3.05275e-18  3.05275e-18
      142.050  2.89946e-18  2.89946e-18
      142.060  3.04230e-18  3.04230e-18
      142.070  3.17829e-18  3.17829e-18
      142.080  3.45832e-18  3.45832e-18
      142.090  3.37994e-18  3.37994e-18
      142.100  3.57940e-18  3.57940e-18
      142.110  3.73320e-18  3.73320e-18
      142.120  3.76640e-18  3.76640e-18
      142.130  3.69151e-18  3.69151e-18
      142.140  3.68052e-18  3.68052e-18
      142.150  3.67059e-18  3.67059e-18
      142.160  3.74137e-18  3.74137e-18
      142.170  3.82872e-18  3.82872e-18
      142.180  3.81059e-18  3.81059e-18
      142.190  3.97684e-18  3.97684e-18
      142.200  3.86397e-18  3.86397e-18
      142.210  4.04191e-18  4.04191e-18
      142.220  4.21060e-18  4.21060e-18
      142.230  4.13212e-18  4.13212e-18
      142.240  4.07964e-18  4.07964e-18
      142.250  4.12147e-18  4.12147e-18
      142.260  4.13983e-18  4.13983e-18
      142.270  4.22708e-18  4.22708e-18
      142.280  4.26834e-18  4.26834e-18
      142.290  4.24763e-18  4.24763e-18
      142.300  4.18527e-18  4.18527e-18
      142.310  4.32217e-18  4.32217e-18
      142.320  4.33279e-18  4.33279e-18
      142.330  4.24124e-18  4.24124e-18
      142.340  4.12811e-18  4.12811e-18
      142.350  3.98717e-18  3.98717e-18
      142.360  4.07710e-18  4.07710e-18
      142.370  4.27365e-18  4.27365e-18
      142.380  4.20787e-18  4.20787e-18
      142.390  4.33238e-18  4.33238e-18
      142.400  4.42688e-18  4.42688e-18
      142.410  4.41553e-18  4.41553e-18
      142.420  4.34043e-18  4.34043e-18
      142.430  4.12472e-18  4.12472e-18
      142.440  3.99450e-18  3.99450e-18
      142.450  4.00863e-18  4.00863e-18
      142.460  3.90571e-18  3.90571e-18
      142.470  4.03735e-18  4.03735e-18
      142.480  4.04552e-18  4.04552e-18
      142.490  4.07071e-18  4.07071e-18
      142.500  4.11520e-18  4.11520e-18
      142.510  4.22048e-18  4.22048e-18
      142.520  4.20203e-18  4.20203e-18
      142.530  4.21067e-18  4.21067e-18
      142.540  4.27348e-18  4.27348e-18
      142.550  4.36755e-18  4.36755e-18
      142.560  4.37403e-18  4.37403e-18
      142.570  4.26297e-18  4.26297e-18
      142.580  4.06829e-18  4.06829e-18
      142.590  4.06355e-18  4.06355e-18
      142.600  3.94017e-18  3.94017e-18
      142.610  3.94396e-18  3.94396e-18
      142.620  4.09698e-18  4.09698e-18
      142.630  4.22105e-18  4.22105e-18
      142.640  4.43883e-18  4.43883e-18
      142.650  4.57043e-18  4.57043e-18
      142.660  4.55789e-18  4.55789e-18
      142.670  4.62752e-18  4.62752e-18
      142.680  4.51360e-18  4.51360e-18
      142.690  4.62613e-18  4.62613e-18
      142.700  4.72799e-18  4.72799e-18
      142.710  4.68015e-18  4.68015e-18
      142.720  4.65477e-18  4.65477e-18
      142.730  4.73371e-18  4.73371e-18
      142.740  4.96528e-18  4.96528e-18
      142.750  5.03592e-18  5.03592e-18
      142.760  4.88604e-18  4.88604e-18
      142.770  4.74182e-18  4.74182e-18
      142.780  4.73937e-18  4.73937e-18
      142.790  4.75681e-18  4.75681e-18
      142.800  4.53342e-18  4.53342e-18
      142.810  4.50026e-18  4.50026e-18
      142.820  4.37653e-18  4.37653e-18
      142.830  4.27510e-18  4.27510e-18
      142.840  4.09392e-18  4.09392e-18
      142.850  4.09526e-18  4.09526e-18
      142.860  4.16573e-18  4.16573e-18
      142.870  4.30909e-18  4.30909e-18
      142.880  4.23103e-18  4.23103e-18
      142.890  4.20046e-18  4.20046e-18
      142.900  4.26584e-18  4.26584e-18
      142.910  4.07493e-18  4.07493e-18
      142.920  4.09665e-18  4.09665e-18
      142.930  3.90906e-18  3.90906e-18
      142.940  3.93151e-18  3.93151e-18
      142.950  3.79330e-18  3.79330e-18
      142.960  3.67673e-18  3.67673e-18
      142.970  3.74193e-18  3.74193e-18
      142.980  3.67163e-18  3.67163e-18
      142.990  3.71343e-18  3.71343e-18
      143.000  3.65267e-18  3.65267e-18
      143.010  3.57097e-18  3.57097e-18
      143.020  3.62207e-18  3.62207e-18
      143.030  3.46709e-18  3.46709e-18
      143.040  3.35091e-18  3.35091e-18
      143.050  3.28512e-18  3.28512e-18
      143.060  3.21651e-18  3.21651e-18
      143.070  3.05530e-18  3.05530e-18
      143.080  3.05063e-18  3.05063e-18
      143.090  3.02785e-18  3.02785e-18
      143.100  3.15036e-18  3.15036e-18
      143.110  3.25609e-18  3.25609e-18
      143.120  3.15084e-18  3.15084e-18
      143.130  3.02184e-18  3.02184e-18
      143.140  2.96051e-18  2.96051e-18
      143.150  3.04882e-18  3.04882e-18
      143.160  3.05274e-18  3.05274e-18
      143.170  2.95015e-18  2.95015e-18
      143.180  3.03234e-18  3.03234e-18
      143.190  3.36740e-18  3.36740e-18
      143.200  3.62432e-18  3.62432e-18
      143.210  3.76948e-18  3.76948e-18
      143.220  3.65761e-18  3.65761e-18
      143.230  3.71054e-18  3.71054e-18
      143.240  3.72875e-18  3.72875e-18
      143.250  3.52422e-18  3.52422e-18
      143.260  3.33004e-18  3.33004e-18
      143.270  3.18792e-18  3.18792e-18
      143.280  3.17760e-18  3.17760e-18
      143.290  3.10577e-18  3.10577e-18
      143.300  3.01483e-18  3.01483e-18
      143.310  3.00755e-18  3.00755e-18
      143.320  2.97733e-18  2.97733e-18
      143.330  3.00308e-18  3.00308e-18
      143.340  2.97931e-18  2.97931e-18
      143.350  3.09638e-18  3.09638e-18
      143.360  3.22478e-18  3.22478e-18
      143.370  3.40724e-18  3.40724e-18
      143.380  3.43103e-18  3.43103e-18
      143.390  3.39027e-18  3.39027e-18
      143.400  3.40339e-18  3.40339e-18
      143.410  3.47238e-18  3.47238e-18
      143.420  3.80201e-18  3.80201e-18
      143.430  3.99560e-18  3.99560e-18
      143.440  4.11674e-18  4.11674e-18
      143.450  4.14239e-18  4.14239e-18
      143.460  4.45732e-18  4.45732e-18
      143.470  4.52770e-18  4.52770e-18
      143.480  4.27178e-18  4.27178e-18
      143.490  4.09703e-18  4.09703e-18
      143.500  4.25069e-18  4.25069e-18
      143.510  4.24889e-18  4.24889e-18
      143.520  4.18936e-18  4.18936e-18
      143.530  4.08556e-18  4.08556e-18
      143.540  4.22701e-18  4.22701e-18
      143.550  4.41848e-18  4.41848e-18
      143.560  4.23496e-18  4.23496e-18
      143.570  4.13299e-18  4.13299e-18
      143.580  4.25767e-18  4.25767e-18
      143.590  4.31867e-18  4.31867e-18
      143.600  4.34510e-18  4.34510e-18
      143.610  4.31115e-18  4.31115e-18
      143.620  4.41172e-18  4.41172e-18
      143.630  4.45230e-18  4.45230e-18
      143.640  4.39153e-18  4.39153e-18
      143.650  4.49556e-18  4.49556e-18
      143.660  4.51788e-18  4.51788e-18
      143.670  4.85718e-18  4.85718e-18
      143.680  5.01094e-18  5.01094e-18
      143.690  5.34503e-18  5.34503e-18
      143.700  5.62023e-18  5.62023e-18
      143.710  5.84433e-18  5.84433e-18
      143.720  6.02709e-18  6.02709e-18
      143.730  6.07886e-18  6.07886e-18
      143.740  6.25818e-18  6.25818e-18
      143.750  6.47807e-18  6.47807e-18
      143.760  6.87102e-18  6.87102e-18
      143.770  7.07896e-18  7.07896e-18
      143.780  7.45940e-18  7.45940e-18
      143.790  7.89601e-18  7.89601e-18
      143.800  8.49159e-18  8.49159e-18
      143.810  8.77987e-18  8.77987e-18
      143.820  9.24450e-18  9.24450e-18
      143.830  9.64610e-18  9.64610e-18
      143.840  9.93680e-18  9.93680e-18
      143.850  1.03901e-17  1.03901e-17
      143.860  1.10872e-17  1.10872e-17
      143.870  1.15626e-17  1.15626e-17
      143.880  1.20375e-17  1.20375e-17
      143.890  1.24947e-17  1.24947e-17
      143.900  1.32488e-17  1.32488e-17
      143.910  1.40682e-17  1.40682e-17
      143.920  1.47108e-17  1.47108e-17
      143.930  1.53313e-17  1.53313e-17
      143.940  1.60199e-17  1.60199e-17
      143.950  1.68275e-17  1.68275e-17
      143.960  1.74144e-17  1.74144e-17
      143.970  1.79462e-17  1.79462e-17
      143.980  1.83243e-17  1.83243e-17
      143.990  1.87478e-17  1.87478e-17
      144.000  1.90768e-17  1.90768e-17
      144.010  1.92962e-17  1.92962e-17
      144.020  1.97819e-17  1.97819e-17
      144.030  2.01110e-17  2.01110e-17
      144.040  2.03877e-17  2.03877e-17
      144.050  2.04700e-17  2.04700e-17
      144.060  2.06791e-17  2.06791e-17
      144.070  2.09260e-17  2.09260e-17
      144.080  2.09706e-17  2.09706e-17
      144.090  2.08956e-17  2.08956e-17
      144.100  2.09150e-17  2.09150e-17
      144.110  2.10215e-17  2.10215e-17
      144.120  2.10300e-17  2.10300e-17
      144.130  2.09551e-17  2.09551e-17
      144.140  2.08397e-17  2.08397e-17
      144.150  2.06528e-17  2.06528e-17
      144.160  2.05179e-17  2.05179e-17
      144.170  2.02291e-17  2.02291e-17
      144.180  1.99850e-17  1.99850e-17
      144.190  1.95713e-17  1.95713e-17
      144.200  1.90506e-17  1.90506e-17
      144.210  1.86021e-17  1.86021e-17
      144.220  1.80812e-17  1.80812e-17
      144.230  1.76232e-17  1.76232e-17
      144.240  1.70583e-17  1.70583e-17
      144.250  1.67257e-17  1.67257e-17
      144.260  1.63765e-17  1.63765e-17
      144.270  1.59863e-17  1.59863e-17
      144.280  1.54807e-17  1.54807e-17
      144.290  1.50995e-17  1.50995e-17
      144.300  1.47510e-17  1.47510e-17
      144.310  1.42918e-17  1.42918e-17
      144.320  1.37323e-17  1.37323e-17
      144.330  1.33181e-17  1.33181e-17
      144.340  1.29662e-17  1.29662e-17
      144.350  1.24005e-17  1.24005e-17
      144.360  1.18094e-17  1.18094e-17
      144.370  1.12893e-17  1.12893e-17
      144.380  1.09350e-17  1.09350e-17
      144.390  1.06403e-17  1.06403e-17
      144.400  1.01597e-17  1.01597e-17
      144.410  9.88972e-18  9.88972e-18
      144.420  9.77256e-18  9.77256e-18
      144.430  9.44037e-18  9.44037e-18
      144.440  9.13862e-18  9.13862e-18
      144.450  8.67949e-18  8.67949e-18
      144.460  8.52945e-18  8.52945e-18
      144.470  8.36148e-18  8.36148e-18
      144.480  8.00831e-18  8.00831e-18
      144.490  7.66251e-18  7.66251e-18
      144.500  7.50815e-18  7.50815e-18
      144.510  7.34054e-18  7.34054e-18
      144.520  7.23409e-18  7.23409e-18
      144.530  7.11892e-18  7.11892e-18
      144.540  7.11700e-18  7.11700e-18
      144.550  7.09745e-18  7.09745e-18
      144.560  7.20444e-18  7.20444e-18
      144.570  7.05599e-18  7.05599e-18
      144.580  6.78332e-18  6.78332e-18
      144.590  6.82532e-18  6.82532e-18
      144.600  6.93221e-18  6.93221e-18
      144.610  6.58018e-18  6.58018e-18
      144.620  5.95785e-18  5.95785e-18
      144.630  6.27453e-18  6.27453e-18
      144.640  6.23066e-18  6.23066e-18
      144.650  5.95817e-18  5.95817e-18
      144.660  5.81986e-18  5.81986e-18
      144.670  5.62730e-18  5.62730e-18
      144.680  6.01260e-18  6.01260e-18
      144.690  6.24450e-18  6.24450e-18
      144.700  6.31233e-18  6.31233e-18
      144.710  6.58092e-18  6.58092e-18
      144.720  7.17020e-18  7.17020e-18
      144.730  7.46936e-18  7.46936e-18
      144.740  7.72631e-18  7.72631e-18
      144.750  7.80159e-18  7.80159e-18
      144.760  7.92597e-18  7.92597e-18
      144.770  8.20907e-18  8.20907e-18
      144.780  8.26304e-18  8.26304e-18
      144.790  7.92822e-18  7.92822e-18
      144.800  8.05164e-18  8.05164e-18
      144.810  8.56020e-18  8.56020e-18
      144.820  8.66970e-18  8.66970e-18
      144.830  8.79418e-18  8.79418e-18
      144.840  8.88126e-18  8.88126e-18
      144.850  9.14038e-18  9.14038e-18
      144.860  9.20699e-18  9.20699e-18
      144.870  9.04707e-18  9.04707e-18
      144.880  9.15664e-18  9.15664e-18
      144.890  9.18061e-18  9.18061e-18
      144.900  9.01756e-18  9.01756e-18
      144.910  9.02871e-18  9.02871e-18
      144.920  9.59690e-18  9.59690e-18
      144.930  9.80417e-18  9.80417e-18
      144.940  9.84655e-18  9.84655e-18
      144.950  9.75307e-18  9.75307e-18
      144.960  9.83973e-18  9.83973e-18
      144.970  1.00581e-17  1.00581e-17
      144.980  9.97633e-18  9.97633e-18
      144.990  9.54563e-18  9.54563e-18
      145.000  9.23948e-18  9.23948e-18
      145.010  9.61765e-18  9.61765e-18
      145.020  9.65200e-18  9.65200e-18
      145.030  1.00286e-17  1.00286e-17
      145.040  1.05525e-17  1.05525e-17
      145.050  1.06217e-17  1.06217e-17
      145.060  1.09595e-17  1.09595e-17
      145.070  1.07247e-17  1.07247e-17
      145.080  1.03094e-17  1.03094e-17
      145.090  9.90061e-18  9.90061e-18
      145.100  9.26720e-18  9.26720e-18
      145.110  9.34922e-18  9.34922e-18
      145.120  9.13690e-18  9.13690e-18
      145.130  9.09704e-18  9.09704e-18
      145.140  9.36421e-18  9.36421e-18
      145.150  9.57686e-18  9.57686e-18
      145.160  9.79775e-18  9.79775e-18
      145.170  9.74575e-18  9.74575e-18
      145.180  9.70000e-18  9.70000e-18
      145.190  9.84977e-18  9.84977e-18
      145.200  9.84017e-18  9.84017e-18
      145.210  9.38028e-18  9.38028e-18
      145.220  9.14253e-18  9.14253e-18
      145.230  8.80277e-18  8.80277e-18
      145.240  8.36211e-18  8.36211e-18
      145.250  8.30763e-18  8.30763e-18
      145.260  7.94647e-18  7.94647e-18
      145.270  8.11232e-18  8.11232e-18
      145.280  8.24127e-18  8.24127e-18
      145.290  8.59345e-18  8.59345e-18
      145.300  9.04197e-18  9.04197e-18
      145.310  8.83728e-18  8.83728e-18
      145.320  9.17352e-18  9.17352e-18
      145.330  8.76632e-18  8.76632e-18
      145.340  8.63154e-18  8.63154e-18
      145.350  8.36074e-18  8.36074e-18
      145.360  8.16694e-18  8.16694e-18
      145.370  8.38740e-18  8.38740e-18
      145.380  8.41936e-18  8.41936e-18
      145.390  8.33018e-18  8.33018e-18
      145.400  8.27687e-18  8.27687e-18
      145.410  8.72093e-18  8.72093e-18
      145.420  8.73553e-18  8.73553e-18
      145.430  8.82914e-18  8.82914e-18
      145.440  8.67730e-18  8.67730e-18
      145.450  8.65296e-18  8.65296e-18
      145.460  8.44410e-18  8.44410e-18
      145.470  8.22963e-18  8.22963e-18
      145.480  8.03944e-18  8.03944e-18
      145.490  7.77963e-18  7.77963e-18
      145.500  7.70583e-18  7.70583e-18
      145.510  7.84184e-18  7.84184e-18
      145.520  7.92577e-18  7.92577e-18
      145.530  7.87187e-18  7.87187e-18
      145.540  8.27475e-18  8.27475e-18
      145.550  8.39323e-18  8.39323e-18
      145.560  8.28384e-18  8.28384e-18
      145.570  8.01130e-18  8.01130e-18
      145.580  8.03876e-18  8.03876e-18
      145.590  8.02334e-18  8.02334e-18
      145.600  7.97256e-18  7.97256e-18
      145.610  7.86378e-18  7.86378e-18
      145.620  7.99489e-18  7.99489e-18
      145.630  8.10824e-18  8.10824e-18
      145.640  7.79478e-18  7.79478e-18
      145.650  7.99622e-18  7.99622e-18
      145.660  7.93378e-18  7.93378e-18
      145.670  7.58878e-18  7.58878e-18
      145.680  7.61314e-18  7.61314e-18
      145.690  7.55710e-18  7.55710e-18
      145.700  7.33150e-18  7.33150e-18
      145.710  6.71146e-18  6.71146e-18
      145.720  6.15218e-18  6.15218e-18
      145.730  5.58384e-18  5.58384e-18
      145.740  5.62735e-18  5.62735e-18
      145.750  4.73440e-18  4.73440e-18
      145.760  4.20912e-18  4.20912e-18
      145.770  3.87265e-18  3.87265e-18
      145.780  3.63471e-18  3.63471e-18
      145.790  3.49077e-18  3.49077e-18
      145.800  2.74078e-18  2.74078e-18
      145.810  2.33310e-18  2.33310e-18
      145.820  2.31625e-18  2.31625e-18
      145.830  2.11890e-18  2.11890e-18
      145.840  2.08410e-18  2.08410e-18
      145.850  1.76597e-18  1.76597e-18
      145.860  2.07889e-18  2.07889e-18
      145.870  2.19652e-18  2.19652e-18
      145.880  2.05179e-18  2.05179e-18
      145.890  2.20039e-18  2.20039e-18
      145.900  2.59020e-18  2.59020e-18
      145.910  2.85584e-18  2.85584e-18
      145.920  2.81867e-18  2.81867e-18
      145.930  2.54591e-18  2.54591e-18
      145.940  2.51424e-18  2.51424e-18
      145.950  2.54542e-18  2.54542e-18
      145.960  2.03564e-18  2.03564e-18
      145.970  1.69850e-18  1.69850e-18
      145.980  1.67212e-18  1.67212e-18
      145.990  1.68936e-18  1.68936e-18
      146.000  1.61545e-18  1.61545e-18
      146.010  1.79863e-18  1.79863e-18
      146.020  1.86371e-18  1.86371e-18
      146.030  2.09934e-18  2.09934e-18
      146.040  2.19681e-18  2.19681e-18
      146.050  2.31260e-18  2.31260e-18
      146.060  1.94365e-18  1.94365e-18
      146.070  1.61219e-18  1.61219e-18
      146.080  1.81741e-18  1.81741e-18
      146.090  1.71299e-18  1.71299e-18
      146.100  1.52301e-18  1.52301e-18
      146.110  1.15809e-18  1.15809e-18
      146.120  1.40540e-18  1.40540e-18
      146.130  1.34404e-18  1.34404e-18
      146.140  1.54554e-18  1.54554e-18
      146.150  1.17071e-18  1.17071e-18
      146.160  1.04237e-18  1.04237e-18
      146.170  1.33534e-18  1.33534e-18
      146.180  1.44939e-18  1.44939e-18
      146.190  1.58729e-18  1.58729e-18
      146.200  1.63321e-18  1.63321e-18
      146.210  1.86773e-18  1.86773e-18
      146.220  2.03711e-18  2.03711e-18
      146.230  2.26766e-18  2.26766e-18
      146.240  1.99202e-18  1.99202e-18
      146.250  2.14337e-18  2.14337e-18
      146.260  2.19196e-18  2.19196e-18
      146.270  2.61319e-18  2.61319e-18
      146.280  2.84256e-18  2.84256e-18
      146.290  2.89118e-18  2.89118e-18
      146.300  2.71705e-18  2.71705e-18
      146.310  3.03600e-18  3.03600e-18
      146.320  2.78369e-18  2.78369e-18
      146.330  2.46106e-18  2.46106e-18
      146.340  2.54993e-18  2.54993e-18
      146.350  2.66040e-18  2.66040e-18
      146.360  2.72729e-18  2.72729e-18
      146.370  2.58599e-18  2.58599e-18
      146.380  2.73122e-18  2.73122e-18
      146.390  2.54230e-18  2.54230e-18
      146.400  2.51208e-18  2.51208e-18
      146.410  2.89857e-18  2.89857e-18
      146.420  2.95283e-18  2.95283e-18
      146.430  2.98961e-18  2.98961e-18
      146.440  3.15995e-18  3.15995e-18
