# Data taken from Menang et al. (2013), which has been normalised to Thuillier. Smoothed to 0.0003 microns. Triangular.
# Wavelength (microns)    Spectral Luminosity (W micron-1)
1
6.955e5
       1.4506152   9.0711790e+25
       1.4506184   9.0701322e+25
       1.4506215   9.0692569e+25
       1.4506247   9.0684913e+25
       1.4506279   9.0678272e+25
       1.4506311   9.0672489e+25
       1.4506342   9.0667343e+25
       1.4506374   9.0662611e+25
       1.4506406   9.0658156e+25
       1.4506437   9.0653923e+25
       1.4506469   9.0649127e+25
       1.4506501   9.0644838e+25
       1.4506532   9.0640475e+25
       1.4506564   9.0636140e+25
       1.4506596   9.0631824e+25
       1.4506628   9.0627498e+25
       1.4506659   9.0622803e+25
       1.4506691   9.0618699e+25
       1.4506723   9.0614899e+25
       1.4506754   9.0611154e+25
       1.4506786   9.0607603e+25
       1.4506818   9.0603526e+25
       1.4506850   9.0600086e+25
       1.4506881   9.0596397e+25
       1.4506913   9.0592560e+25
       1.4506945   9.0587800e+25
       1.4506976   9.0583309e+25
       1.4507008   9.0578476e+25
       1.4507040   9.0573836e+25
       1.4507071   9.0569031e+25
       1.4507103   9.0565830e+25
       1.4507135   9.0564539e+25
       1.4507167   9.0565369e+25
       1.4507198   9.0570322e+25
       1.4507230   9.0579518e+25
       1.4507262   9.0593076e+25
       1.4507293   9.0612427e+25
       1.4507325   9.0637035e+25
       1.4507357   9.0666033e+25
       1.4507389   9.0700178e+25
       1.4507420   9.0738307e+25
       1.4507452   9.0779287e+25
       1.4507484   9.0823716e+25
       1.4507515   9.0869842e+25
       1.4507547   9.0918135e+25
       1.4507579   9.0967757e+25
       1.4507611   9.1017803e+25
       1.4507642   9.1068965e+25
       1.4507674   9.1120090e+25
       1.4507706   9.1171944e+25
       1.4507737   9.1223374e+25
       1.4507769   9.1275311e+25
       1.4507801   9.1327266e+25
       1.4507833   9.1378705e+25
       1.4507864   9.1430540e+25
       1.4507896   9.1481933e+25
       1.4507928   9.1533796e+25
       1.4507959   9.1585068e+25
       1.4507991   9.1637005e+25
       1.4508023   9.1688342e+25
       1.4508054   9.1740196e+25
       1.4508086   9.1791414e+25
       1.4508118   9.1843009e+25
       1.4508150   9.1893775e+25
       1.4508181   9.1944660e+25
       1.4508213   9.1994475e+25
       1.4508245   9.2043599e+25
       1.4508276   9.2092418e+25
       1.4508308   9.2139762e+25
       1.4508340   9.2186690e+25
       1.4508372   9.2231968e+25
       1.4508403   9.2276129e+25
       1.4508435   9.2319793e+25
       1.4508467   9.2361953e+25
       1.4508498   9.2403753e+25
       1.4508530   9.2444105e+25
       1.4508562   9.2483738e+25
       1.4508594   9.2523251e+25
       1.4508625   9.2561731e+25
       1.4508657   9.2599621e+25
       1.4508689   9.2637575e+25
       1.4508720   9.2674828e+25
       1.4508752   9.2711556e+25
       1.4508784   9.2748587e+25
       1.4508816   9.2784688e+25
       1.4508847   9.2820465e+25
       1.4508879   9.2856436e+25
       1.4508911   9.2891328e+25
       1.4508942   9.2925879e+25
       1.4508974   9.2959858e+25
       1.4509006   9.2993874e+25
       1.4509038   9.3026783e+25
       1.4509069   9.3059083e+25
       1.4509101   9.3090738e+25
       1.4509133   9.3122300e+25
       1.4509165   9.3152728e+25
       1.4509196   9.3182593e+25
       1.4509228   9.3211739e+25
       1.4509260   9.3240442e+25
       1.4509291   9.3269265e+25
       1.4509323   9.3297009e+25
       1.4509355   9.3324615e+25
       1.4509387   9.3351953e+25
       1.4509418   9.3379106e+25
       1.4509450   9.3406242e+25
       1.4509482   9.3433773e+25
       1.4509513   9.3460724e+25
       1.4509545   9.3487582e+25
       1.4509577   9.3514349e+25
       1.4509609   9.3540746e+25
       1.4509640   9.3566848e+25
       1.4509672   9.3592471e+25
       1.4509704   9.3617623e+25
       1.4509735   9.3642655e+25
       1.4509767   9.3666414e+25
       1.4509799   9.3689418e+25
       1.4509831   9.3711738e+25
       1.4509862   9.3733330e+25
       1.4509894   9.3754387e+25
       1.4509926   9.3774900e+25
       1.4509957   9.3794914e+25
       1.4509989   9.3814468e+25
       1.4510021   9.3833643e+25
       1.4510053   9.3852293e+25
       1.4510084   9.3870196e+25
       1.4510116   9.3887120e+25
       1.4510148   9.3902643e+25
       1.4510180   9.3916294e+25
       1.4510211   9.3927842e+25
       1.4510243   9.3936687e+25
       1.4510275   9.3942728e+25
       1.4510306   9.3945689e+25
       1.4510338   9.3945578e+25
       1.4510370   9.3942562e+25
       1.4510402   9.3936982e+25
       1.4510433   9.3928930e+25
       1.4510465   9.3918360e+25
       1.4510497   9.3906665e+25
       1.4510528   9.3893734e+25
       1.4510560   9.3879705e+25
       1.4510592   9.3864874e+25
       1.4510624   9.3849332e+25
       1.4510655   9.3833256e+25
       1.4510687   9.3816737e+25
       1.4510719   9.3799766e+25
       1.4510751   9.3781642e+25
       1.4510782   9.3763647e+25
       1.4510814   9.3745219e+25
       1.4510846   9.3726329e+25
       1.4510877   9.3706905e+25
       1.4510909   9.3687158e+25
       1.4510941   9.3666304e+25
       1.4510973   9.3645773e+25
       1.4511004   9.3624918e+25
       1.4511036   9.3603945e+25
