          81         698
  1.0257364E-22  6.5217807E-23  4.0330993E-23  2.5045941E-23  1.5577840E-23
  9.6785747E-24  5.9643576E-24  3.7450201E-24  2.3546603E-24  1.4277465E-24
  8.7990522E-25  5.3854114E-25  3.1608537E-25  1.8760951E-25  1.1063978E-25
  6.6018666E-26  3.4279565E-26  1.7597562E-26  9.0730945E-27  7.6399661E-27
  3.7379277E-27
  2.3642167E-16  4.1141038E-15  3.4788341E-14  1.8662119E-13  7.3801739E-13
  2.2660350E-12  5.5340702E-12  1.1487514E-11  2.0240729E-11  3.0166269E-11
  4.0444106E-11  4.4400039E-11  2.8985134E-11  1.0010890E-11  3.1369525E-12
  1.0527238E-12  5.2738282E-13  3.5229840E-13  2.3578492E-13  1.5021213E-13
  9.6533099E-14  6.1064435E-14  3.6131973E-14  2.0053376E-14  1.1570706E-14
  6.7584412E-15  3.8170625E-15  2.1772450E-15  1.2626316E-15  6.9277078E-16
  4.0043356E-16  2.3876821E-16  1.3754371E-16  8.1277219E-17  4.9134155E-17
  2.9651573E-17  1.7964111E-17  1.1167831E-17  6.9627151E-18  4.1900247E-18
  2.5695528E-18  1.6330446E-18  1.0104134E-18  6.2524137E-19  3.8972878E-19
  2.4268704E-19  1.4948164E-19  9.3667102E-20  5.8831851E-20  3.5520438E-20
  2.1882740E-20  1.3907764E-20  8.5999012E-21  5.3243855E-21  3.3285841E-21
  2.0597603E-21  1.2689902E-21  8.0014023E-22  5.0337575E-22  3.0382199E-22
  1.8734685E-22  1.1907002E-22  7.3609835E-23  4.5698797E-23  2.8409002E-23
  1.7643818E-23  1.0877082E-23  6.8202342E-24  4.2946933E-24  2.6168273E-24
  1.6074616E-24  9.8021381E-25  5.7950368E-25  3.4940185E-25  2.0849788E-25
  1.2145474E-25  6.7475988E-26  3.5710232E-26  2.3322725E-26  1.3636969E-26
  4.5352041E-27
  5.5053890E-19  3.8026092E-17  8.8896616E-16  9.9635444E-15  7.0209551E-14
  3.5837715E-13  1.3953271E-12  4.5193931E-12  1.2031159E-11  2.6225924E-11
  4.8770120E-11  6.8184847E-11  5.3935419E-11  2.0085253E-11  6.2219648E-12
  1.8966389E-12  8.5944760E-13  5.6243551E-13  3.7698268E-13  2.4057191E-13
  1.5476955E-13  9.7848670E-14  5.7810805E-14  3.2321998E-14  1.8664388E-14
  1.0867744E-14  6.1498260E-15  3.5193516E-15  2.0394063E-15  1.1254743E-15
  6.4864121E-16  3.8579291E-16  2.2361598E-16  1.3233394E-16  7.9910729E-17
  4.8450007E-17  2.9530986E-17  1.8350747E-17  1.1439885E-17  6.8842950E-18
  4.2221151E-18  2.6834645E-18  1.6604951E-18  1.0276220E-18  6.4062435E-19
  4.0044286E-19  2.4854738E-19  1.5581220E-19  9.7901795E-20  5.9122896E-20
  3.6429428E-20  2.3154815E-20  1.4317571E-20  8.8629915E-21  5.5391568E-21
  3.4235515E-21  2.1051601E-21  1.3359381E-21  8.4021825E-22  5.0634929E-22
